"mentor","mentee","score","shared_language","mentor_career_preference","mentee_career_level","shared_skills","shared_format","shared_frequency","shared_sector","shared_country","prof_years","mentee_challenges"
"mainye001","nina013",0.42,"english","undergraduatestudent","graduatestudent","careerguidance, researchadvice, networking","onlinevideocalls, emails, messaging","biweekly","","","5","lackofmentorship, networkingchallenges, professionaltransition"
"mainye001","renisauma007",0.36,"english","undergraduatestudent","earlycareerprofessional","careerguidance, researchadvice, worklifebalance, networking, leadershipskills","onlinevideocalls, emails, messaging","biweekly","","","5","careerentry"
"mainye001","manahadray024",0.36,"english","undergraduatestudent","graduatestudent","careerguidance, networking, leadershipskills","onlinevideocalls, emails, messaging, hybridbothonlineandinperson","","","","5","technicalskills, skillsknowledge"
"nurabdi002","hellen011",0.44,"english","graduatestudent","graduatestudent","careerguidance, researchadvice","","","government","","6","careerdevelopment, skillsknowledge"
"nurabdi002","theodora017",0.36,"english","graduatestudent","undergraduatestudent","researchadvice, leadershipskills","","weekly","","","6","careerdevelopment"
"nurabdi002","leah021",0.33,"english","graduatestudent","undergraduatestudent","careerguidance, worklifebalance, leadershipskills","onlinevideocalls, emails, messaging","","","","6","genderbarriers"
"isabel003","comorge018",0.42,"french, english","nopreference","earlycareerprofessional","careerguidance","hybridbothonlineandinperson","","government","","10","professionaltransition"
"isabel003","joyce022",0.42,"english","nopreference","earlycareerprofessional","careerguidance, worklifebalance","hybridbothonlineandinperson","","","","10","careerdevelopment, networkingchallenges"
"isabel003","agnes014",0.4,"english","nopreference","earlycareerprofessional","careerguidance, worklifebalance","hybridbothonlineandinperson","","","","10","networkingchallenges, careerdevelopment"
"eylem004","leah021",0.37,"english","nopreference","undergraduatestudent","careerguidance, worklifebalance","inpersoniffeasible, hybridbothonlineandinperson","","academic","kenya","10","genderbarriers"
"eylem004","joyce022",0.34,"english","nopreference","earlycareerprofessional","careerguidance, worklifebalance","hybridbothonlineandinperson","","","kenya","10","careerdevelopment, networkingchallenges"
"eylem004","manahadray024",0.34,"english","nopreference","graduatestudent","careerguidance","hybridbothonlineandinperson","monthly","","madagascar","10","technicalskills, skillsknowledge"
"zikhona005","grace016",0.36,"english","nopreference","earlycareerprofessional","","onlinevideocalls, emails, messaging","","academic","","10","careerdevelopment, timemanagement"
"zikhona005","leah021",0.35,"english","nopreference","undergraduatestudent","networking","onlinevideocalls, emails, messaging","","academic","","10","genderbarriers"
"zikhona005","joyce022",0.27,"english","nopreference","earlycareerprofessional","networking","onlinevideocalls, emails, messaging","","","","10","careerdevelopment, networkingchallenges"
"aadila006","comorge018",0.27,"english","nopreference","earlycareerprofessional","careerguidance","onlinevideocalls, emails, messaging","","","","12","professionaltransition"
"aadila006","angeline005",0.26,"english","nopreference","earlycareerprofessional","careerguidance, researchadvice","","","","","12","careerentry"
"aadila006","hellen011",0.25,"english","nopreference","graduatestudent","careerguidance, researchadvice","","","academic","","12","careerdevelopment, skillsknowledge"
"aadila006","grace016",0.25,"english","nopreference","earlycareerprofessional","careerguidance, worklifebalance","onlinevideocalls, emails, messaging","asneededbutatleastmonthly","academic","","12","careerdevelopment, timemanagement"
"aadila006","leah021",0.25,"english","nopreference","undergraduatestudent","careerguidance, worklifebalance","onlinevideocalls, emails, messaging","","academic","","12","genderbarriers"
"ramesh007","leah021",0.41,"english","nopreference","undergraduatestudent","careerguidance, networking","onlinevideocalls, emails, messaging, inpersoniffeasible, hybridbothonlineandinperson","","academic","","13","genderbarriers"
"ramesh007","grace016",0.38,"english","nopreference","earlycareerprofessional","careerguidance","onlinevideocalls, emails, messaging, hybridbothonlineandinperson","","academic, government","","13","careerdevelopment, timemanagement"
"ramesh007","agnes014",0.36,"english","nopreference","earlycareerprofessional","careerguidance, networking","onlinevideocalls, emails, messaging, hybridbothonlineandinperson","","","","13","networkingchallenges, careerdevelopment"
"stela008","angeline005",0.32,"english","nopreference","earlycareerprofessional","researchadvice","hybridbothonlineandinperson","","government","","15","careerentry"
"stela008","cecilia010",0.32,"english","nopreference","graduatestudent","researchadvice, worklifebalance","hybridbothonlineandinperson","","","","15","timemanagement"
"stela008","comorge018",0.28,"english","nopreference","earlycareerprofessional","","hybridbothonlineandinperson","","government","","15","professionaltransition"
"agatha009","cecilia010",0.48,"english, swahili","nopreference","graduatestudent","careerguidance, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","","","kenya","15","timemanagement"
"agatha009","maurine009",0.45,"english","nopreference","graduatestudent","careerguidance, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","","","kenya","15","skillsknowledge"
"agatha009","renisauma007",0.36,"english, swahili","nopreference","earlycareerprofessional","careerguidance, worklifebalance, networking, leadershipskills","","","","","15","careerentry"
"volanirina010","amina028",0.38,"french","nopreference","graduatestudent","careerguidance, researchadvice, worklifebalance, networking, leadershipskills","","","","","18","communication, confidencebuilding, timemanagement"
"volanirina010","maurine009",0.36,"english","nopreference","graduatestudent","careerguidance, researchadvice, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","","","","18","skillsknowledge"
"volanirina010","nina013",0.35,"malagasy, french, english","nopreference","graduatestudent","careerguidance, researchadvice, networking","","biweekly","","madagascar","18","lackofmentorship, networkingchallenges, professionaltransition"
"volanirina010","amina030",0.35,"french","nopreference","graduatestudent","careerguidance, researchadvice, worklifebalance, networking, leadershipskills","","","","","18","communication, timemanagement"
"juliet011","grace016",0.41,"english","nopreference","earlycareerprofessional","careerguidance, worklifebalance, leadershipskills","onlinevideocalls, emails, messaging, hybridbothonlineandinperson","","academic, government","kenya","20","careerdevelopment, timemanagement"
"juliet011","renisauma007",0.38,"english","nopreference","earlycareerprofessional","careerguidance, researchadvice, worklifebalance, networking, leadershipskills","onlinevideocalls, emails, messaging","","","","20","careerentry"
"juliet011","joyce022",0.38,"english","nopreference","earlycareerprofessional","careerguidance, worklifebalance, networking, leadershipskills","onlinevideocalls, emails, messaging, hybridbothonlineandinperson","","","kenya","20","careerdevelopment, networkingchallenges"
"pascale012","comorge018",0.31,"french, english","nopreference","earlycareerprofessional","careerguidance","hybridbothonlineandinperson","","government","","30","professionaltransition"
"pascale012","joyce022",0.31,"english","nopreference","earlycareerprofessional","careerguidance, worklifebalance","hybridbothonlineandinperson","","","","30","careerdevelopment, networkingchallenges"
"pascale012","manahadray024",0.31,"french, english","nopreference","graduatestudent","careerguidance","hybridbothonlineandinperson","","","","30","technicalskills, skillsknowledge"
"chitra013","mariamali019",0.37,"english","nopreference","earlycareerprofessional","careerguidance, researchadvice, worklifebalance, leadershipskills","hybridbothonlineandinperson","asneededbutatleastmonthly","","","11","skillsknowledge, careerdevelopment, networkingchallenges"
"chitra013","diana020",0.36,"english","nopreference","earlycareerprofessional","leadershipskills","","asneededbutatleastmonthly","","","11","communication, confidencebuilding"
"chitra013","manahadray024",0.35,"english, french","nopreference","graduatestudent","careerguidance, leadershipskills","hybridbothonlineandinperson","","","","11","technicalskills, skillsknowledge"
"carlota014","leah021",0.32,"english","earlycareerprofessional","undergraduatestudent","networking","onlinevideocalls, emails, messaging","","academic","","10","genderbarriers"
"carlota014","theodora017",0.29,"english","earlycareerprofessional","undergraduatestudent","researchadvice, networking","","","academic","","10","careerdevelopment"
"carlota014","angeline005",0.29,"english","earlycareerprofessional","earlycareerprofessional","researchadvice, networking","","monthly","government","","10","careerentry"
"chandani015","grace016",0.38,"english","earlycareerprofessional","earlycareerprofessional","careerguidance, worklifebalance","onlinevideocalls, emails, messaging","","academic","","31","careerdevelopment, timemanagement"
"chandani015","leah021",0.36,"english","earlycareerprofessional","undergraduatestudent","careerguidance, worklifebalance, networking","onlinevideocalls, emails, messaging","","academic","","31","genderbarriers"
"chandani015","christina006",0.33,"english","earlycareerprofessional","undergraduatestudent","careerguidance, researchadvice, worklifebalance, networking","","","academic","","31","skillsknowledge, careerdevelopment, networkingchallenges"
"narriman016","hellen011",0.33,"english","nopreference","graduatestudent","careerguidance, researchadvice","","","","","36","careerdevelopment, skillsknowledge"
"narriman016","diana020",0.29,"english","nopreference","earlycareerprofessional","leadershipskills","onlinevideocalls, emails, messaging","asneededbutatleastmonthly","","","36","communication, confidencebuilding"
"narriman016","renisauma007",0.29,"english","nopreference","earlycareerprofessional","careerguidance, researchadvice, leadershipskills","onlinevideocalls, emails, messaging","","","","36","careerentry"
"vilma017","cecilia010",0.42,"english","nopreference","graduatestudent","careerguidance, researchadvice, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","","","","11","timemanagement"
"vilma017","maurine009",0.4,"english","nopreference","graduatestudent","careerguidance, researchadvice, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","","","","11","skillsknowledge"
"vilma017","angeline005",0.36,"english","nopreference","earlycareerprofessional","careerguidance, researchadvice, networking, leadershipskills","hybridbothonlineandinperson","","","","11","careerentry"
"sushma018","agnes014",0.43,"english","nopreference","earlycareerprofessional","careerguidance, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","","","","25","networkingchallenges, careerdevelopment"
"sushma018","joyce022",0.4,"english","nopreference","earlycareerprofessional","careerguidance, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","","","","25","careerdevelopment, networkingchallenges"
"sushma018","jerry003",0.38,"english, french","nopreference","earlycareerprofessional","careerguidance, researchadvice, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","","","","25","genderbarriers, lackofmentorship"
"sushma018","maurine009",0.38,"english","nopreference","graduatestudent","careerguidance, researchadvice, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","monthly","","","25","skillsknowledge"
"sally019","amina030",0.36,"","graduatestudent","graduatestudent","careerguidance, researchadvice, leadershipskills","onlinevideocalls, emails, messaging","","academic","","16","communication, timemanagement"
"sally019","comorge018",0.3,"english","graduatestudent","earlycareerprofessional","careerguidance","onlinevideocalls, emails, messaging, hybridbothonlineandinperson","","government","","16","professionaltransition"
"sally019","manahadray024",0.3,"english","graduatestudent","graduatestudent","careerguidance, leadershipskills","onlinevideocalls, emails, messaging, hybridbothonlineandinperson","","","","16","technicalskills, skillsknowledge"
